Artist,Listeners,Daily Trend,Peak Position,PeakListeners
The Weeknd,105957407,94614,1,113034886
Taylor Swift,100597785,69472,2,101062829
Drake,80185887,551845,3,80185887
Rihanna,77222393,65581,2,80958750
Ed Sheeran,76345790,20779,2,87934910
Doja Cat,76220600,12440,5,76220600
Bad Bunny,75970446,307708,3,83950570
Justin Bieber,74031248,32003,6,75467229
Dua Lipa,71626990,243208,3,77778397
SZA,70275765,317327,9,70275765
Billie Eilish,68829392,65942,8,72368528
David Guetta,67996267,193804,4,75163500
Bruno Mars,67449419,152238,12,68467966
Coldplay,66326294,757,12,69814134
Shakira,65612525,22471,3,82268835
Miley Cyrus,65567968,253373,2,84140935
Ariana Grande,64691011,84094,3,82981758
Eminem,63223033,68426,11,68591390
Olivia Rodrigo,62878030,355545,18,64128148
Travis Scott,62119858,92843,6,75422869
Calvin Harris,61872472,168705,13,67342768
Post Malone,61258960,137494,13,67066636
Imagine Dragons,58174040,120864,18,61624656
Kanye West,57949201,52960,24,58347756
Harry Styles,57496112,46232,13,66411599
Maroon 5,57332895,38932,21,58793104
21 Savage,57332790,202859,19,61319583
Lana Del Rey,56548909,7003,27,56740687
Nicki Minaj,55952444,270427,18,65680733
KAROL G,55648163,54101,21,59143777
Sam Smith,55540572,62939,7,73972799
Lady Gaga,53796156,67940,22,57730508
Marshmello,53752950,203963,21,58346399
Adele,52991388,2553,31,53902159
Selena Gomez,52720663,137686,22,58879269
Katy Perry,52021929,12538,29,53998988
J Balvin,51933740,65917,29,54792335
Peso Pluma,51192107,23778,33,53877990
Daddy Yankee,50803814,120261,22,58098739
Future,50448162,49698,22,58360653
Metro Boomin,50436554,37205,17,62911430
Khalid,50147527,90064,28,54186217
Beyoncé,48457831,139079,26,55563018
Sia,48402907,35044,43,48402907
Arctic Monkeys,48306990,41922,44,48306990
Kendrick Lamar,47165767,27782,33,54045549
Elton John,46866532,118620,40,50362330
Queen,46861234,79486,45,48573860
Chris Brown,46704277,20436,25,54390450
OneRepublic,46345395,20170,39,50035577
Myke Towers,46325730,15754,48,47235005
Ozuna,44124381,139180,40,51532028
Shawn Mendes,43919259,62743,45,46917936
Rauw Alejandro,43785974,100862,34,52131934
Halsey,42436804,56176,48,45939636
J. Cole,41994643,481867,56,44549954
Bebe Rexha,41159072,140011,37,49496274
Arijit Singh,41081325,35599,57,41081325
Bizarrap,40821020,152754,28,54300662
Tiësto,40342039,119105,44,46094072
Maluma,39783226,80280,61,39783226
Feid,39567620,11180,61,40900736
Charlie Puth,39220889,67898,58,42603508
Ellie Goulding,39104069,101844,51,45626754
The Chainsmokers,38976010,82972,65,39275751
Black Eyed Peas,38770037,75817,57,41190019
Madonna,38731191,46338,60,42630784
One Direction,38308861,42953,58,41614431
James Arthur,38240855,28424,69,38460411
Camila Cabello,38061296,35005,57,40828152
Quevedo,37480082,35165,71,38182790
Anne-Marie,37324196,195760,61,41501481
Michael Jackson,37097760,33882,68,37313351
